GPU,Cyberpunk_2077_FPS,BG3_FPS,Hitman_3_FPS,RDR2_FPS,Dishonored_2_FPS,Deathloop_FPS
RTX 4090,109,133,230,168,276,203
RX 7900 XTX,91,126,222,143,247,183
