Country,Steam_Users_Total,Latitude,Longitude,Population_2021
Lithuania,235219,55.169438,23.881275,2800839
Jamaica,81401,18.109581,-77.297508,2827695
Albania,178328,41.153332,20.168331,2811666
Gambia,14596,13.443182,-15.310139,2639916
Gabon,21895,-0.803689,11.609444,2341179
Botswana,23691,-22.328474,24.684866,2588423
Lesotho,10168,-29.609988,28.233608,2281454
Guinea-Bissau,12234,11.803749,-15.180413,2060721
Slovenia,75542,46.151241,14.995463,2108079
Eq. Guinea,12527,1.650801,10.267895,1634466
Latvia,172506,56.879635,24.603189,1884490
North Macedonia,65604,41.608635,21.745275,1837114
Bahrain,24818,25.930414,50.637772,1463265
Trinidad and Tobago,21946,10.691803,-61.222503,1525663
Timor-Leste,4756,-8.874217,125.727539,1320942
Estonia,172148,58.595272,25.013607,1330932
Cyprus,46355,35.126413,33.429859,1244188
Mauritius,16786,-20.348404,57.552152,1266334
Djibouti,25968,11.825138,42.590275,1105557
Fiji,51154,-16.578193,179.414413,924610
Comoros,12572,-11.875001,43.872219,821625
Guyana,15068,4.860416,-58.93018,804567
Solomon Islands,5942,-9.64571,160.156194,707851
Bhutan,23786,27.514162,90.433601,777486
Macau,29821,22.198745,113.543873,686607
Luxembourg,63445,49.815273,6.129583,640064
Montenegro,23116,42.708678,19.37439,619211
Suriname,7953,3.919305,-56.027783,612985
Malta,23797,35.937496,14.375416,518536
Maldives,14617,3.202778,73.22068,521457
Cape Verde,17928,16.002082,-24.013197,587925
Brunei,24185,4.535277,114.727669,445373
Belize,22523,17.189877,-88.49765,400031
Bahamas,55631,25.03428,-77.39628,407906
Iceland,75583,64.963051,-19.020835,372520
Vanuatu,8518,-15.376706,166.959158,319137
Barbados,23084,13.193887,-59.543198,281200
French Polynesia,13702,-17.679742,-149.406843,304032
Samoa,6569,-13.759029,-172.104629,218764
Saint Lucia,11039,13.909444,-60.978893,179651
Guam,17041,13.444304,144.793731,170534
Kiribati,11826,-3.370417,-168.734039,128874
Seychelles,6746,-4.679574,55.491977,99258
Grenada,14044,12.262776,-61.604171,124610
Micronesia,8334,7.425554,150.550812,113131
Aruba,45947,12.52111,-69.968338,106537
Tonga,7426,-21.178986,-175.198242,106017
Saint Vincent and the Grenadines,8641,12.984305,-61.287228,104332
Antigua and Barbuda,35350,17.060816,-61.796428,93219
United States Virgin Islands,80025,18.335765,-64.896335,105870
Isle of Man,27916,54.236107,-4.548056,84263
Andorra,62334,42.546245,1.601554,79034
Cayman Islands,15902,19.513469,-80.566956,68136
Dominica,23362,15.414999,-61.370976,72412
Bermuda,23489,32.321384,-64.75737,63764
Greenland,29108,71.706936,-42.604303,56653
Faroe Islands,29276,61.892635,-6.911806,52889
Saint Kitts and Nevis,7412,17.357822,-62.782998,47606
American Samoa,96110,-14.270972,-170.132217,45035
Turks and Caicos Islands,7995,21.694025,-71.797928,45114
Northern Mariana Islands,10223,17.33083,145.38469,49481
Liechtenstein,16963,47.166,9.555373,39039
British Virgin Islands,22903,18.420695,-64.639968,31122
Gibraltar,14565,36.137741,-5.345374,32669
Monaco,34650,43.750298,7.412841,36686
Marshall Islands,5630,7.131474,171.184478,42050
San Marino,12172,43.94236,12.457777,33745
Palau,8424,7.51498,134.58252,18024
Nauru,5965,-0.522778,166.931503,12511
Tuvalu,7648,-7.109535,177.64933,11204
